Dia,Tiempo,Equipo1,Equipo2,Resultado1,Resultado2,Goles1,Goles2
S치bado 18 de Mayo,Final,Ind Rivadavia,Godoy Cruz,0,0,,
S치bado 18 de Mayo,Final,River Plate,Belgrano,3,0,35'C. Echeverri;81'F. Colidio;86'P. Solari;,
S치bado 18 de Mayo,Final,Def y Justicia,Gimnasia (LP),1,1,53'N. Fernandez;,42'E. Lucero (e.c.);
S치bado 18 de Mayo,Final,Instituto,Union,1,1,40'S. Rodriguez;,33'N. Orsini;
Domingo 19 de Mayo,Final,Barracas Central,Sarmiento (J),1,1,5'R. Insua;,29'A. Fontana (pen.);
Domingo 19 de Mayo,Final,Platense,Independiente,0,0,,
Domingo 19 de Mayo,Final,Banfield,Huracan,1,1,79'M. Gimenez;,14'H. Fertoli;
Domingo 19 de Mayo,Final,Talleres (C),Atl Tucuman,2,0,45(+3)'R. Sosa;48'B. Barticciotto;,
Domingo 19 de Mayo,Final,Central Cba (SdE),Boca Juniors,2,4,3'R. Atencio;45(+2)'M. Sanabria;,47'E. Fernandez;52'M. Merentiel;80'M. Merentiel;90(+6)'E. Fernandez;
Lunes 20 de Mayo,44',Estudiantes (LP),Riestra,1,0,42'E. Cetre (pen.);,
Lunes 20 de Mayo,E. T.,San Lorenzo,Lanus,0,1,,19'W. Bou;
Lunes 20 de Mayo,21:15,Racing Club,Argentinos,,,,
Lunes 20 de Mayo,21:15,Rosario Central,Tigre,,,,
Martes 21 de Mayo,20:00,Velez,Newells,,,,
